Tag	Name	Keyword	VR	VM	Unnamed: 5	Attribute Name	Retd. (from PS3.6 )	In Std. Comp. IOD (from PS3.3 )	Basic Prof.	Anonymisation	XNAT Code
(0016,0084)	GPS Dest​ Latitude	GPS​Dest​Latitude	DS	3		GPS Dest​ Latitude	N	Y	X	-(0016,0084)	-(0016,0084) //GPS Dest​ Latitude
(0016,0085)	GPS Dest​ Longitude Ref	GPS​Dest​Longitude​Ref	CS	1		GPS Dest ​Longitude Ref	N	Y	X	-(0016,0085)	-(0016,0085) //GPS Dest​ Longitude Ref
(0016,0086)	GPS Dest ​Longitude	GPS​Dest​​Longitude	DS	3		GPS Dest ​Longitude	N	Y	X	-(0016,0086)	-(0016,0086) //GPS Dest ​Longitude
(0016,0087)	GPS Dest ​Bearing Ref	GPS​Dest​Bearing​Ref	CS	1		GPS Dest​ Bearing Ref	N	Y	X	-(0016,0087)	-(0016,0087) //GPS Dest ​Bearing Ref
(0016,0088)	GPS Dest ​Bearing	GPS​Dest​Bearing	DS	1		GPS Dest ​Bearing	N	Y	X	-(0016,0088)	-(0016,0088) //GPS Dest ​Bearing
(0016,0089)	GPS Dest ​Distance Ref	GPS​Dest​Distance​Ref	CS	1		GPS Dest ​Distance Ref	N	Y	X	-(0016,0089)	-(0016,0089) //GPS Dest ​Distance Ref
(0016,008A)	GPS Dest​ Distance	GPS​Dest​Distance	DS	1		GPS Dest ​Distance	N	Y	X	-(0016,008A)	-(0016,008A) //GPS Dest​ Distance
(0016,008B)	GPS Processing​ Method	GPS​Processing​Method	OB	1		GPS Processing​ Method	N	Y	X	-(0016,008B)	-(0016,008B) //GPS Processing​ Method
(0016,008C)	GPS Area ​Information	GPS​Area​Information	OB	1		GPS Area ​Information	N	Y	X	-(0016,008C)	-(0016,008C) //GPS Area ​Information
(0016,008D)	GPS Date​ Stamp	GPS​Date​Stamp	DT	1		GPS Date​ Stamp	N	Y	X	-(0016,008D)	-(0016,008D) //GPS Date​ Stamp
(0016,008E)	GPS Differential	GPS​Differential	IS	1		GPS Differential	N	Y	X	-(0016,008E)	-(0016,008E) //GPS Differential
(0018,0010)	Contrast/Bolus Agent	Contrast​Bolus​Agent	LO	1		Contrast/Bolus Agent	N	Y	Z/D	(0018,0010) ?= "ANON"	(0018,0010) ?= "ANON" //Contrast/Bolus Agent
(0018,0027)	Intervention Drug Stop Time	Intervention​Drug​Stop​Time	TM	1		Intervention Drug Stop Time	N	Y	X	-(0018,0027)	-(0018,0027) //Intervention Drug Stop Time
(0018,0035)	Intervention Drug Start Time	Intervention​Drug​Start​Time	TM	1		Intervention Drug Start Time	N	Y	X	-(0018,0035)	-(0018,0035) //Intervention Drug Start Time
(0018,1000)	Device Serial Number	Device​Serial​Number	LO	1		Device Serial Number	N	Y	X/Z/D	(0018,1000) ?= "ANON"	(0018,1000) ?= "ANON" //Device Serial Number
(0018,1002)	Device UID	Device​UID	UI	1		Device UID	N	Y	U	(0018,1002) ?= hashUID[(0018,1002)]	(0018,1002) ?= hashUID[(0018,1002)] //Device UID
(0018,1004)	Plate ID	Plate​ID	LO	1		Plate ID	N	Y	X	-(0018,1004)	-(0018,1004) //Plate ID
(0018,1005)	Generator ID	Generator​ID	LO	1		Generator ID	N	Y	X	-(0018,1005)	-(0018,1005) //Generator ID
(0018,1007)	Cassette ID	Cassette​ID	LO	1		Cassette ID	N	Y	X	-(0018,1007)	-(0018,1007) //Cassette ID
(0018,1008)	Gantry ID	Gantry​ID	LO	1		Gantry ID	N	Y	X	-(0018,1008)	-(0018,1008) //Gantry ID
(0018,1009)	Unique Device Identifier	Unique​Device​Identifier	UT	1		Unique Device Identifier	N	Y	X	-(0018,1009)	-(0018,1009) //Unique Device Identifier
(0018,100A)	UDI Sequence	UDI​Sequence	SQ	1		UDI Sequence	N	Y	X	-(0018,100A)	-(0018,100A) //UDI Sequence
(0018,100B)	Manufacturer's Device Class UID	Manufacturer​Device​Class​UID	UI	1-n		Manufacturer's Device Class UID	N	Y	U	(0018,100B) ?= hashUID[(0018,100B)]	(0018,100B) ?= hashUID[(0018,100B)] //Manufacturer's Device Class UID
(0018,1012)	Date of Secondary Capture	Date​Of​Secondary​Capture	DA	1		Date of Secondary Capture	N	Y	X	-(0018,1012)	-(0018,1012) //Date of Secondary Capture
(0018,1014)	Time of Secondary Capture	Time​Of​Secondary​Capture	TM	1		Time of Secondary Capture	N	Y	X	-(0018,1014)	-(0018,1014) //Time of Secondary Capture
(0018,1030)	Protocol Name	Protocol​Name	LO	1		Protocol Name	N	Y	X/D	(0018,1030) ?= "ANON"	(0018,1030) ?= "ANON" //Protocol Name
(0018,1042)	Contrast/Bolus Start Time	Contrast​Bolus​Start​Time	TM	1		Contrast/Bolus Start Time	N	Y	X	-(0018,1042)	-(0018,1042) //Contrast/Bolus Start Time
(0018,1043)	Contrast/Bolus Stop Time	Contrast​Bolus​Stop​Time	TM	1		Contrast/Bolus Stop Time	N	Y	X	-(0018,1043)	-(0018,1043) //Contrast/Bolus Stop Time
(0018,1072)	Radiopharmaceutical Start Time	Radio​pharmaceutical​Start​Time	TM	1		Radiopharmaceutical Start Time	N	Y	X	-(0018,1072)	-(0018,1072) //Radiopharmaceutical Start Time
(0018,1073)	Radiopharmaceutical Stop Time	Radio​pharmaceutical​Stop​Time	TM	1		Radiopharmaceutical Stop Time	N	Y	X	-(0018,1073)	-(0018,1073) //Radiopharmaceutical Stop Time
(0018,1078)	Radiopharmaceutical Start DateTime	Radio​pharmaceutical​Start​Date​Time	DT	1		Radiopharmaceutical Start DateTime	N	Y	X	-(0018,1078)	-(0018,1078) //Radiopharmaceutical Start DateTime
(0018,1079)	Radiopharmaceutical Stop DateTime	Radio​pharmaceutical​Stop​Date​Time	DT	1		Radiopharmaceutical Stop DateTime	N	Y	X	-(0018,1079)	-(0018,1079) //Radiopharmaceutical Stop DateTime
(0018,11BB)	Acquisition Field of View Label	Acquisition​Field​Of​View​Label	LO	1		Acquisition Field Of View Label	N	Y	D	(0018,11BB) ?= "ANON"	(0018,11BB) ?= "ANON" //Acquisition Field of View Label
(0018,1200)	Date of Last Calibration	Date​Of​Last​Calibration	DA	1-n		Date of Last Calibration	N	Y	X	-(0018,1200)	-(0018,1200) //Date of Last Calibration
(0018,1201)	Time of Last Calibration	Time​Of​Last​Calibration	TM	1-n		Time of Last Calibration	N	Y	X	-(0018,1201)	-(0018,1201) //Time of Last Calibration
(0018,1202)	DateTime of Last Calibration	Date​Time​Of​Last​Calibration	DT	1		DateTime of Last Calibration	N	N	X	-(0018,1202)	-(0018,1202) //DateTime of Last Calibration
(0018,1203)	Calibration DateTime	Calibration​Date​Time	DT	1		Calibration DateTime	N	Y	Z	(0018,1203) ?= "00000000000000.000000"	(0018,1203) ?= "00000000000000.000000" //Calibration DateTime
(0018,1204)	Date of Manufacture	Date​Of​Manufacture	DA	1		Date of Manufacture	N	Y	X	-(0018,1204)	-(0018,1204) //Date of Manufacture
(0018,1205)	Date of Installation	Date​Of​Installation	DA	1		Date of Installation	N	Y	X	-(0018,1205)	-(0018,1205) //Date of Installation
(0018,1400)	Acquisition Device Processing Description	Acquisition​Device​Processing​Description	LO	1		Acquisition Device Processing Description	N	Y	X/D	(0018,1400) ?= "ANON"	(0018,1400) ?= "ANON" //Acquisition Device Processing Description
(0018,2042)	Target UID	Target​UID	UI	1		Target UID	N	Y	U	(0018,2042) ?= hashUID[(0018,2042)]	(0018,2042) ?= hashUID[(0018,2042)] //Target UID
(0018,4000)	Acquisition Comments	Acquisition​Comments	LT	1	RET	Acquisition Comments	Y	N	X	-(0018,4000)	-(0018,4000) //Acquisition Comments
(0018,5011)	Transducer Identification Sequence	Transducer​Identification​Sequence	SQ	1		Transducer Identification Sequence	N	Y	X	-(0018,5011)	-(0018,5011) //Transducer Identification Sequence
(0018,700A)	Detector ID	Detector​ID	SH	1		Detector ID	N	Y	X/D	(0018,700A) ?= "ANON"	(0018,700A) ?= "ANON" //Detector ID
(0018,700C)	Date of Last Detector Calibration	Date​Of​Last​Detector​Calibration	DA	1		Date of Last Detector Calibration	N	Y	X/D	(0018,700C) ?= "00000000"	(0018,700C) ?= "00000000" //Date of Last Detector Calibration
(0018,700E)	Time of Last Detector Calibration	Time​Of​Last​Detector​Calibration	TM	1		Time of Last Detector Calibration	N	Y	X/D	(0018,700E) ?= "000000.000000"	(0018,700E) ?= "000000.000000" //Time of Last Detector Calibration
(0018,9074)	Frame Acquisition DateTime	Frame​Acquisition​Date​Time	DT	1		Frame Acquisition DateTime	N	Y	D	(0018,9074) ?= "00000000000000.000000"	(0018,9074) ?= "00000000000000.000000" //Frame Acquisition DateTime
(0018,9151)	Frame Reference DateTime	Frame​Reference​Date​Time	DT	1		Frame Reference DateTime	N	Y	D	(0018,9151) ?= "00000000000000.000000"	(0018,9151) ?= "00000000000000.000000" //Frame Reference DateTime
(0018,9185)	Respiratory Motion Compensation Technique Description	Respiratory​Motion​Compensation​Technique​Description	ST	1		Respiratory Motion Compensation Technique Description	N	Y	X	-(0018,9185)	-(0018,9185) //Respiratory Motion Compensation Technique Description
(0018,9367)	X-Ray Source ID	XRay​Source​ID	UC	1		X-Ray Source ID	N	Y	D	(0018,9367) ?= "ANON"	(0018,9367) ?= "ANON" //X-Ray Source ID
(0018,9369)	Source Start DateTime	Source​Start​Date​Time	DT	1		Source Start DateTime	N	Y	D	(0018,9369) ?= "00000000000000.000000"	(0018,9369) ?= "00000000000000.000000" //Source Start DateTime
(0018,936A)	Source End DateTime	Source​End​Date​Time	DT	1		Source End DateTime	N	Y	D	(0018,936A) ?= "00000000000000.000000"	(0018,936A) ?= "00000000000000.000000" //Source End DateTime
(0018,9371)	X-Ray Detector ID	XRay​Detector​ID	UC	1		X-Ray Detector ID	N	Y	D	(0018,9371) ?= "ANON"	(0018,9371) ?= "ANON" //X-Ray Detector ID
(0018,9373)	X-Ray Detector Label	XRay​Detector​Label	ST	1		X-Ray Detector Label	N	Y	X	-(0018,9373)	-(0018,9373) //X-Ray Detector Label
(0018,937B)	Multi-energy Acquisition Description	Multienergy​Acquisition​Description	UT	1		Multi-energy Acquisition Description	N	Y	X	-(0018,937B)	-(0018,937B) //Multi-energy Acquisition Description
(0018,937F)	Decomposition Description	Decomposition​Description	UT	1		Decomposition Description	N	Y	X	-(0018,937F)	-(0018,937F) //Decomposition Description
(0018,9424)	Acquisition Protocol Description	Acquisition​Protocol​Description	LT	1		Acquisition Protocol Description	N	Y	X	-(0018,9424)	-(0018,9424) //Acquisition Protocol Description
(0018,9516)	Start Acquisition DateTime	Start​Acquisition​Date​Time	DT	1		Start Acquisition DateTime	N	Y	X/D	(0018,9516) ?= "00000000000000.000000"	(0018,9516) ?= "00000000000000.000000" //Start Acquisition DateTime
(0018,9517)	End Acquisition DateTime	End​Acquisition​Date​Time	DT	1		End Acquisition DateTime	N	Y	X/D	(0018,9517) ?= "00000000000000.000000"	(0018,9517) ?= "00000000000000.000000" //End Acquisition DateTime
(0018,9623)	Functional Sync Pulse	Functional​Sync​Pulse	DT	1		Functional Sync Pulse	N	Y	D	(0018,9623) ?= "00000000000000.000000"	(0018,9623) ?= "00000000000000.000000" //Functional Sync Pulse
(0018,9701)	Decay Correction DateTime	Decay​Correction​Date​Time	DT	1		Decay Correction DateTime	N	Y	D	(0018,9701) ?= "00000000000000.000000"	(0018,9701) ?= "00000000000000.000000" //Decay Correction DateTime
(0018,9804)	Exclusion Start DateTime	Exclusion​Start​Date​Time	DT	1		Exclusion Start DateTime	N	Y	D	(0018,9804) ?= "00000000000000.000000"	(0018,9804) ?= "00000000000000.000000" //Exclusion Start DateTime
(0018,9919)	Instruction Performed DateTime	Instruction​Performed​Date​Time	DT	1		Instruction Performed DateTime	N	Y	Z/D	(0018,9919) ?= "00000000000000.000000"	(0018,9919) ?= "00000000000000.000000" //Instruction Performed DateTime
(0018,9937)	Requested Series Description	Requested​Series​Description	LO	1		Requested Series Description	N	Y	X	-(0018,9937)	-(0018,9937) //Requested Series Description
(0018,A002)	Contribution DateTime	Contribution​Date​Time	DT	1		Contribution DateTime	N	Y	X	-(0018,A002)	-(0018,A002) //Contribution DateTime
(0018,A003)	Contribution Description	Contribution​Description	ST	1		Contribution Description	N	Y	X	-(0018,A003)	-(0018,A003) //Contribution Description
(0020,000D)	Study Instance UID	Study​Instance​UID	UI	1		Study Instance UID	N	Y	U	(0020,000D) ?= hashUID[(0020,000D)]	(0020,000D) ?= hashUID[(0020,000D)] //Study Instance UID
(0020,000E)	Series Instance UID	Series​Instance​UID	UI	1		Series Instance UID	N	Y	U	(0020,000E) ?= hashUID[(0020,000E)]	(0020,000E) ?= hashUID[(0020,000E)] //Series Instance UID
(0020,0010)	Study ID	Study​ID	SH	1		Study ID	N	Y	Z	(0020,0010) ?= "ANON"	(0020,0010) ?= "ANON" //Study ID
(0020,0027)	Pyramid Label	PyramidLabel	LO	1		Pyramid Label	N	Y	X	-(0020,0027)	-(0020,0027) //Pyramid Label
(0020,0052)	Frame of Reference UID	Frame​Of​Reference​UID	UI	1		Frame of Reference UID	N	Y	U	(0020,0052) ?= hashUID[(0020,0052)]	(0020,0052) ?= hashUID[(0020,0052)] //Frame of Reference UID
(0020,0200)	Synchronization Frame of Reference UID	Synchronization​Frame​Of​Reference​UID	UI	1		Synchronization Frame of Reference UID	N	Y	U	(0020,0200) ?= hashUID[(0020,0200)]	(0020,0200) ?= hashUID[(0020,0200)] //Synchronization Frame of Reference UID
(0020,3401)	Modifying Device ID	Modifying​Device​ID	CS	1	RET	Modifying Device ID	Y	N	X	-(0020,3401)	-(0020,3401) //Modifying Device ID
(0020,3403)	Modified Image Date	Modified​Image​Date	DA	1	RET	Modified Image Date	Y	N	X	-(0020,3403)	-(0020,3403) //Modified Image Date
(0020,3405)	Modified Image Time	Modified​Image​Time	TM	1	RET	Modified Image Time	Y	N	X	-(0020,3405)	-(0020,3405) //Modified Image Time
(0020,3406)	Modified Image Description	Modified​Image​Description	LO	1	RET	Modified Image Description	Y	N	X	-(0020,3406)	-(0020,3406) //Modified Image Description
(0020,4000)	Image Comments	Image​Comments	LT	1		Image Comments	N	Y	X	-(0020,4000)	-(0020,4000) //Image Comments
(0020,9158)	Frame Comments	Frame​Comments	LT	1		Frame Comments	N	Y	X	-(0020,9158)	-(0020,9158) //Frame Comments
(0020,9161)	Concatenation UID	Concatenation​UID	UI	1		Concatenation UID	N	Y	U	(0020,9161) ?= hashUID[(0020,9161)]	(0020,9161) ?= hashUID[(0020,9161)] //Concatenation UID
(0020,9164)	Dimension Organization UID	Dimension​Organization​UID	UI	1		Dimension Organization UID	N	Y	U	(0020,9164) ?= hashUID[(0020,9164)]	(0020,9164) ?= hashUID[(0020,9164)] //Dimension Organization UID
(0028,1199)	Palette Color Lookup Table UID	Palette​Color​Lookup​Table​UID	UI	1		Palette Color Lookup Table UID	N	Y	U	(0028,1199) ?= hashUID[(0028,1199)]	(0028,1199) ?= hashUID[(0028,1199)] //Palette Color Lookup Table UID
(0028,1214)	Large Palette Color Lookup Table UID	Large​Palette​Color​Lookup​Table​UID	UI	1	RET (2007)	Large Palette Color Lookup Table UID	Y	N	U	(0028,1214) ?= hashUID[(0028,1214)]	(0028,1214) ?= hashUID[(0028,1214)] //Large Palette Color Lookup Table UID
(0028,4000)	Image Presentation Comments	Image​Presentation​Comments	LT	1	RET	Image Presentation Comments	Y	N	X	-(0028,4000)	-(0028,4000) //Image Presentation Comments
(0032,0012)	Study ID Issuer	Study​ID​Issuer	LO	1	RET (2004)	Study ID Issuer	Y	N	X	-(0032,0012)	-(0032,0012) //Study ID Issuer
(0032,0032)	Study Verified Date	Study​Verified​Date	DA	1	RET (2004)	Study Verified Date	Y	N	X	-(0032,0032)	-(0032,0032) //Study Verified Date
(0032,0033)	Study Verified Time	Study​Verified​Time	TM	1	RET (2004)	Study Verified Time	Y	N	X	-(0032,0033)	-(0032,0033) //Study Verified Time
(0032,0034)	Study Read Date	Study​Read​Date	DA	1	RET (2004)	Study Read Date	Y	N	X	-(0032,0034)	-(0032,0034) //Study Read Date
(0032,0035)	Study Read Time	Study​Read​Time	TM	1	RET (2004)	Study Read Time	Y	N	X	-(0032,0035)	-(0032,0035) //Study Read Time
(0032,1000)	Scheduled Study Start Date	Scheduled​Study​Start​Date	DA	1	RET (2004)	Scheduled Study Start Date	Y	N	X	-(0032,1000)	-(0032,1000) //Scheduled Study Start Date
(0032,1001)	Scheduled Study Start Time	Scheduled​Study​Start​Time	TM	1	RET (2004)	Scheduled Study Start Time	Y	N	X	-(0032,1001)	-(0032,1001) //Scheduled Study Start Time
(0032,1010)	Scheduled Study Stop Date	Scheduled​Study​Stop​Date	DA	1	RET (2004)	Scheduled Study Stop Date	Y	N	X	-(0032,1010)	-(0032,1010) //Scheduled Study Stop Date
(0032,1011)	Scheduled Study Stop Time	Scheduled​Study​Stop​Time	TM	1	RET (2004)	Scheduled Study Stop Time	Y	N	X	-(0032,1011)	-(0032,1011) //Scheduled Study Stop Time
(0032,1020)	Scheduled Study Location	Scheduled​Study​Location	LO	1	RET (2004)	Scheduled Study Location	Y	N	X	-(0032,1020)	-(0032,1020) //Scheduled Study Location
(0032,1021)	Scheduled Study Location AE Title	Scheduled​Study​Location​AE​Title	AE	1-n	RET (2004)	Scheduled Study Location AE Title	Y	N	X	-(0032,1021)	-(0032,1021) //Scheduled Study Location AE Title
(0032,1030)	Reason for Study	Reason​For​Study	LO	1	RET (2004)	Reason for Study	Y	N	X	-(0032,1030)	-(0032,1030) //Reason for Study
(0032,1032)	Requesting Physician	Requesting​Physician	PN	1		Requesting Physician	N	N	X	-(0032,1032)	-(0032,1032) //Requesting Physician
(0032,1033)	Requesting Service	Requesting​Service	LO	1		Requesting Service	N	N	X	-(0032,1033)	-(0032,1033) //Requesting Service
(0032,1040)	Study Arrival Date	Study​Arrival​Date	DA	1	RET (2004)	Study Arrival Date	Y	N	X	-(0032,1040)	-(0032,1040) //Study Arrival Date
(0032,1041)	Study Arrival Time	Study​Arrival​Time	TM	1	RET (2004)	Study Arrival Time	Y	N	X	-(0032,1041)	-(0032,1041) //Study Arrival Time
(0032,1050)	Study Completion Date	Study​Completion​Date	DA	1	RET (2004)	Study Completion Date	Y	N	X	-(0032,1050)	-(0032,1050) //Study Completion Date
(0032,1051)	Study Completion Time	Study​Completion​Time	TM	1	RET (2004)	Study Completion Time	Y	N	X	-(0032,1051)	-(0032,1051) //Study Completion Time
(0032,1060)	Requested Procedure Description	Requested​Procedure​Description	LO	1		Requested Procedure Description	N	Y	X/Z	(0032,1060) ?= "ANON"	(0032,1060) ?= "ANON" //Requested Procedure Description
(0032,1066)	Reason for Visit	Reason​For​Visit	UT	1		Reason for Visit	N	Y	X	-(0032,1066)	-(0032,1066) //Reason for Visit
(0032,1067)	Reason for Visit Code Sequence	Reason​For​Visit​Code​Sequence	SQ	1		Reason for Visit Code Sequence	N	Y	X	-(0032,1067)	-(0032,1067) //Reason for Visit Code Sequence
(0032,1070)	Requested Contrast Agent	Requested​Contrast​Agent	LO	1		Requested Contrast Agent	N	N	X	-(0032,1070)	-(0032,1070) //Requested Contrast Agent
(0032,4000)	Study Comments	Study​Comments	LT	1	RET (2007)	Study Comments	Y	N	X	-(0032,4000)	-(0032,4000) //Study Comments
(0034,0001)	Flow Identifier Sequence	Flow​Identifier​Sequence	SQ	1		Flow Identifier Sequence	N	Y	D	TBD	TBD //Flow Identifier Sequence
(0034,0002)	Flow Identifier	Flow​Identifier	OB	1		Flow Identifier	N	Y	D	TBD	TBD //Flow Identifier
(0034,0005)	Source Identifier	Source​Identifier	OB	1		Source Identifier	N	Y	D	TBD	TBD //Source Identifier
(0034,0007)	Frame Origin Timestamp	Frame​Origin​Timestamp	OB	1		Frame Origin Timestamp	N	Y	D	TBD	TBD //Frame Origin Timestamp
(0038,0004)	Referenced Patient Alias Sequence	Referenced​Patient​Alias​Sequence	SQ	1	RET (2023d)	Referenced Patient Alias Sequence	Y	N	X	-(0038,0004)	-(0038,0004) //Referenced Patient Alias Sequence
(0038,0010)	Admission ID	Admission​ID	LO	1		Admission ID	N	Y	X	-(0038,0010)	-(0038,0010) //Admission ID
(0038,0011)	Issuer of Admission ID	Issuer​Of​Admission​ID	LO	1	RET (2008)	Issuer of Admission ID	Y	Y	X	-(0038,0011)	-(0038,0011) //Issuer of Admission ID
(0038,0014)	Issuer of Admission ID Sequence	Issuer​Of​Admission​ID​Sequence	SQ	1		Issuer of Admission ID Sequence	N	Y	X	-(0038,0014)	-(0038,0014) //Issuer of Admission ID Sequence
(0038,001A)	Scheduled Admission Date	Scheduled​Admission​Date	DA	1	RET (2004)	Scheduled Admission Date	Y	N	X	-(0038,001A)	-(0038,001A) //Scheduled Admission Date
(0038,001B)	Scheduled Admission Time	Scheduled​Admission​Time	TM	1	RET (2004)	Scheduled Admission Time	Y	N	X	-(0038,001B)	-(0038,001B) //Scheduled Admission Time
(0038,001C)	Scheduled Discharge Date	Scheduled​Discharge​Date	DA	1	RET (2004)	Scheduled Discharge Date	Y	N	X	-(0038,001C)	-(0038,001C) //Scheduled Discharge Date
(0038,001D)	Scheduled Discharge Time	Scheduled​Discharge​Time	TM	1	RET (2004)	Scheduled Discharge Time	Y	N	X	-(0038,001D)	-(0038,001D) //Scheduled Discharge Time
(0038,001E)	Scheduled Patient Institution Residence	Scheduled​Patient​Institution​Residence	LO	1	RET (2004)	Scheduled Patient Institution Residence	Y	N	X	-(0038,001E)	-(0038,001E) //Scheduled Patient Institution Residence
(0038,0020)	Admitting Date	Admitting​Date	DA	1		Admitting Date	N	N	X	-(0038,0020)	-(0038,0020) //Admitting Date
(0038,0021)	Admitting Time	Admitting​Time	TM	1		Admitting Time	N	N	X	-(0038,0021)	-(0038,0021) //Admitting Time
(0038,0030)	Discharge Date	Discharge​Date	DA	1	RET (2004)	Discharge Date	Y	N	X	-(0038,0030)	-(0038,0030) //Discharge Date
(0038,0032)	Discharge Time	Discharge​Time	TM	1	RET (2004)	Discharge Time	Y	N	X	-(0038,0032)	-(0038,0032) //Discharge Time
(0038,0040)	Discharge Diagnosis Description	Discharge​Diagnosis​Description	LO	1	RET (2004)	Discharge Diagnosis Description	Y	N	X	-(0038,0040)	-(0038,0040) //Discharge Diagnosis Description
(0038,0050)	Special Needs	Special​Needs	LO	1		Special Needs	N	N	X	-(0038,0050)	-(0038,0050) //Special Needs
(0038,0060)	Service Episode ID	Service​Episode​ID	LO	1		Service Episode ID	N	Y	X	-(0038,0060)	-(0038,0060) //Service Episode ID
(0038,0061)	Issuer of Service Episode ID	Issuer​Of​Service​Episode​ID	LO	1	RET (2008)	Issuer of Service Episode ID	Y	Y	X	-(0038,0061)	-(0038,0061) //Issuer of Service Episode ID
(0038,0062)	Service Episode Description	Service​Episode​Description	LO	1		Service Episode Description	N	Y	X	-(0038,0062)	-(0038,0062) //Service Episode Description
(0038,0064)	Issuer of Service Episode ID Sequence	Issuer​Of​Service​Episode​ID​Sequence	SQ	1		Issuer of Service Episode ID Sequence	N	Y	X	-(0038,0064)	-(0038,0064) //Issuer of Service Episode ID Sequence
(0038,0300)	Current Patient Location	Current​Patient​Location	LO	1		Current Patient Location	N	N	X	-(0038,0300)	-(0038,0300) //Current Patient Location
(0038,0400)	Patient's Institution Residence	Patient​Institution​Residence	LO	1		Patient's Institution Residence	N	N	X	-(0038,0400)	-(0038,0400) //Patient's Institution Residence
(0038,0500)	Patient State	Patient​State	LO	1		Patient State	N	N	X	-(0038,0500)	-(0038,0500) //Patient State
(0038,4000)	Visit Comments	Visit​Comments	LT	1		Visit Comments	N	N	X	-(0038,4000)	-(0038,4000) //Visit Comments
(003A,0310)	Multiplex Group UID	Multiplex​Group​UID	UI	1		Multiplex Group UID	N	Y	U	(003A,0310) ?= hashUID[(003A,0310)]	(003A,0310) ?= hashUID[(003A,0310)] //Multiplex Group UID
(003A,0314)	Impedance Measurement DateTime	Impedance​Measurement​DateTime	DT	1		Impedance Measurement DateTime	N	Y	D	(003A,0314) ?= "00000000000000.000000"	(003A,0314) ?= "00000000000000.000000" //Impedance Measurement DateTime
(003A,0329)	Waveform Filter Description	Waveform​Filter​Description	ST	1		​Waveform Filter Description	N	Y	X	-(003A,0329)	-(003A,0329) //Waveform Filter Description
(003A,032B)	Filter Lookup Table Description	Filter​Lookup​Table​Description	ST	1		Filter Lookup Table Description	N	Y	X	-(003A,032B)	-(003A,032B) //Filter Lookup Table Description
(0040,0001)	Scheduled Station AE Title	Scheduled​Station​AE​Title	AE	1-n		Scheduled Station AE Title	N	N	X	-(0040,0001)	-(0040,0001) //Scheduled Station AE Title
(0040,0002)	Scheduled Procedure Step Start Date	Scheduled​Procedure​Step​Start​Date	DA	1		Scheduled Procedure Step Start Date	N	N	X	-(0040,0002)	-(0040,0002) //Scheduled Procedure Step Start Date
(0040,0003)	Scheduled Procedure Step Start Time	Scheduled​Procedure​Step​Start​Time	TM	1		Scheduled Procedure Step Start Time	N	N	X	-(0040,0003)	-(0040,0003) //Scheduled Procedure Step Start Time
(0040,0004)	Scheduled Procedure Step End Date	Scheduled​Procedure​Step​End​Date	DA	1		Scheduled Procedure Step End Date	N	N	X	-(0040,0004)	-(0040,0004) //Scheduled Procedure Step End Date
(0040,0005)	Scheduled Procedure Step End Time	Scheduled​Procedure​Step​End​Time	TM	1		Scheduled Procedure Step End Time	N	N	X	-(0040,0005)	-(0040,0005) //Scheduled Procedure Step End Time
(0040,0006)	Scheduled Performing Physician's Name	Scheduled​Performing​Physician​Name	PN	1		Scheduled Performing Physician's Name	N	N	X	-(0040,0006)	-(0040,0006) //Scheduled Performing Physician's Name
(0040,0007)	Scheduled Procedure Step Description	Scheduled​Procedure​Step​Description	LO	1		Scheduled Procedure Step Description	N	Y	X	-(0040,0007)	-(0040,0007) //Scheduled Procedure Step Description
(0040,0009)	Scheduled Procedure Step ID	Scheduled​Procedure​Step​ID	SH	1		Scheduled Procedure Step ID	N	Y	X	-(0040,0009)	-(0040,0009) //Scheduled Procedure Step ID
(0040,000B)	Scheduled Performing Physician Identification Sequence	Scheduled​Performing​Physician​Identification​Sequence	SQ	1		Scheduled Performing Physician Identification Sequence	N	N	X	-(0040,000B)	-(0040,000B) //Scheduled Performing Physician Identification Sequence
(0040,0010)	Scheduled Station Name	Scheduled​Station​Name	SH	1-n		Scheduled Station Name	N	N	X	-(0040,0010)	-(0040,0010) //Scheduled Station Name
(0040,0011)	Scheduled Procedure Step Location	Scheduled​Procedure​Step​Location	SH	1		Scheduled Procedure Step Location	N	N	X	-(0040,0011)	-(0040,0011) //Scheduled Procedure Step Location
(0040,0012)	Pre-Medication	Pre​Medication	LO	1		Pre-Medication	N	N	X	-(0040,0012)	-(0040,0012) //Pre-Medication
(0040,0241)	Performed Station AE Title	Performed​Station​AE​Title	AE	1		Performed Station AE Title	N	N	X	-(0040,0241)	-(0040,0241) //Performed Station AE Title
(0040,0242)	Performed Station Name	Performed​Station​Name	SH	1		Performed Station Name	N	N	X	-(0040,0242)	-(0040,0242) //Performed Station Name
(0040,0243)	Performed Location	Performed​Location	SH	1		Performed Location	N	N	X	-(0040,0243)	-(0040,0243) //Performed Location
(0040,0244)	Performed Procedure Step Start Date	Performed​Procedure​Step​Start​Date	DA	1		Performed Procedure Step Start Date	N	Y	X	-(0040,0244)	-(0040,0244) //Performed Procedure Step Start Date
(0040,0245)	Performed Procedure Step Start Time	Performed​Procedure​Step​Start​Time	TM	1		Performed Procedure Step Start Time	N	Y	X	-(0040,0245)	-(0040,0245) //Performed Procedure Step Start Time
(0040,0250)	Performed Procedure Step End Date	Performed​Procedure​Step​End​Date	DA	1		Performed Procedure Step End Date	N	Y	X	-(0040,0250)	-(0040,0250) //Performed Procedure Step End Date
